Unicode,Bytes,Description
U+1F344,\xf0\x9f\x8d\x84,mushroom
U+1F345,\xf0\x9f\x8d\x85,tomato
U+1F346,\xf0\x9f\x8d\x86,aubergine
U+1F347,\xf0\x9f\x8d\x87,grapes
U+1F348,\xf0\x9f\x8d\x88,melon
U+1F349,\xf0\x9f\x8d\x89,watermelon
U+1F34A,\xf0\x9f\x8d\x8a,tangerine
U+1F34C,\xf0\x9f\x8d\x8c,banana
U+1F34D,\xf0\x9f\x8d\x8d,pineapple
U+1F34E,\xf0\x9f\x8d\x8e,red_apple
U+1F34F,\xf0\x9f\x8d\x8f,green_apple
U+1F351,\xf0\x9f\x8d\x91,peach
U+1F352,\xf0\x9f\x8d\x92,cherries
U+1F353,\xf0\x9f\x8d\x93,strawberry
U+1F354,\xf0\x9f\x8d\x94,hamburger
U+1F355,\xf0\x9f\x8d\x95,slice_of_pizza
U+1F356,\xf0\x9f\x8d\x96,meat_on_bone
U+1F357,\xf0\x9f\x8d\x97,poultry_leg
U+1F358,\xf0\x9f\x8d\x98,rice_cracker
U+1F359,\xf0\x9f\x8d\x99,rice_ball
U+1F35A,\xf0\x9f\x8d\x9a,cooked_rice
U+1F35B,\xf0\x9f\x8d\x9b,curry_and_rice
U+1F35C,\xf0\x9f\x8d\x9c,steaming_bowl
U+1F35D,\xf0\x9f\x8d\x9d,spaghetti
U+1F35E,\xf0\x9f\x8d\x9e,bread
U+1F35F,\xf0\x9f\x8d\x9f,french_fries
U+1F360,\xf0\x9f\x8d\xa0,roasted_sweet_potato
U+1F361,\xf0\x9f\x8d\xa1,dango
U+1F362,\xf0\x9f\x8d\xa2,oden
U+1F363,\xf0\x9f\x8d\xa3,sushi
U+1F364,\xf0\x9f\x8d\xa4,fried_shrimp
U+1F365,\xf0\x9f\x8d\xa5,fish_cake_with_swirl_design
U+1F366,\xf0\x9f\x8d\xa6,soft_ice_cream
U+1F367,\xf0\x9f\x8d\xa7,shaved_ice
U+1F368,\xf0\x9f\x8d\xa8,ice_cream
U+1F369,\xf0\x9f\x8d\xa9,doughnut
U+1F36A,\xf0\x9f\x8d\xaa,cookie
U+1F36B,\xf0\x9f\x8d\xab,chocolate_bar
U+1F36C,\xf0\x9f\x8d\xac,candy
U+1F36D,\xf0\x9f\x8d\xad,lollipop
U+1F36E,\xf0\x9f\x8d\xae,custard
U+1F36F,\xf0\x9f\x8d\xaf,honey_pot
U+1F370,\xf0\x9f\x8d\xb0,shortcake
U+1F371,\xf0\x9f\x8d\xb1,bento_box
U+1F372,\xf0\x9f\x8d\xb2,pot_of_food
U+1F373,\xf0\x9f\x8d\xb3,cooking
U+1F374,\xf0\x9f\x8d\xb4,fork_and_knife
U+1F375,\xf0\x9f\x8d\xb5,teacup_without_handle
U+1F376,\xf0\x9f\x8d\xb6,sake_bottle_and_cup
U+1F377,\xf0\x9f\x8d\xb7,wine_glass
U+1F378,\xf0\x9f\x8d\xb8,cocktail_glass
U+1F379,\xf0\x9f\x8d\xb9,tropical_drink
U+1F37A,\xf0\x9f\x8d\xba,beer_mug
U+1F37B,\xf0\x9f\x8d\xbb,clinking_beer_mugs
U+1F380,\xf0\x9f\x8e\x80,ribbon
U+1F381,\xf0\x9f\x8e\x81,wrapped_present
U+1F382,\xf0\x9f\x8e\x82,birthday_cake
U+1F383,\xf0\x9f\x8e\x83,jack-o-lantern
U+1F384,\xf0\x9f\x8e\x84,christmas_tree
U+1F385,\xf0\x9f\x8e\x85,father_christmas
U+1F386,\xf0\x9f\x8e\x86,fireworks
U+1F387,\xf0\x9f\x8e\x87,firework_sparkler
U+1F388,\xf0\x9f\x8e\x88,balloon
U+1F389,\xf0\x9f\x8e\x89,party_popper
U+1F38A,\xf0\x9f\x8e\x8a,confetti_ball
U+1F38B,\xf0\x9f\x8e\x8b,tanabata_tree
U+1F38C,\xf0\x9f\x8e\x8c,crossed_flags
U+1F38D,\xf0\x9f\x8e\x8d,pine_decoration
U+1F38E,\xf0\x9f\x8e\x8e,japanese_dolls
U+1F38F,\xf0\x9f\x8e\x8f,carp_streamer
U+1F390,\xf0\x9f\x8e\x90,wind_chime
U+1F391,\xf0\x9f\x8e\x91,moon_viewing_ceremony
U+1F392,\xf0\x9f\x8e\x92,school_satchel
U+1F393,\xf0\x9f\x8e\x93,graduation_cap
U+1F3A0,\xf0\x9f\x8e\xa0,carousel_horse
U+1F3A1,\xf0\x9f\x8e\xa1,ferris_wheel
U+1F3A2,\xf0\x9f\x8e\xa2,roller_coaster
U+1F3A3,\xf0\x9f\x8e\xa3,fishing_pole_and_fish
